,UniversityName,Address,State,Type,CreateDT
107,Manonmaniam Sundarnar University,Tirunelvelli - 627 008.,Tamil Nadu -,State university,2020-02-23 11:27:02.440298
108,Mother Teresa Women's University,"Ananda Giri IV Street, Kodaikanal, T.N. - 624 101.",Tamil Nadu -,State university,2020-02-23 11:27:02.440298
109,Periyar University,"Govt. College of Engineering - Campus, Salem- 636 011 (T.N.)",Tamil Nadu -,State university,2020-02-23 11:27:02.440298
110,Tamil Nadu Fisheries University,First Linebeach Road Nagapattinam,Tamil Nadu - 611 001,State university,2020-02-23 11:27:02.440298
111,Tamil Nadu Music and Fine Arts University,Dr. D.G.S. Dinakaran Salai Chennai,Tamil Nadu - 600 088,State university,2020-02-23 11:27:02.440298
112,Tamil Nadu Open University,"No. 577, Anna Salai, Saidapet, Chennai",Tamil Nadu - 600015,State university,2020-02-23 11:27:02.440298
113,Tamil Nadu Teacher Education University,"Lady Willingdon College Campus, Kamarajar Salai, Chennai-600005 Tamil Nadu",Tamil Nadu -,State university,2020-02-23 11:27:02.440298
114,Tamil University,"Trichy Road, Thanjavur, PIN - 613 005. (T.N.)",Tamil Nadu -,State university,2020-02-23 11:27:02.440298
115,Tamilnadu Agricultural University,Coimbatore-641 003. (T.N),Tamil Nadu -,State university,2020-02-23 11:27:02.440298
116,Tamilnadu Dr. Ambedkar Law University,"Poompozhil,5.Dr.D.G.S. dinakaran Salai, Raja Annamalai Puram, Chennai-600028, (T.N.)",Tamil Nadu -,State university,2020-02-23 11:27:02.440298
117,Tamilnadu Dr. M.G.R.Medical University,Guindy Chennai- 600 032.,Tamil Nadu -,State university,2020-02-23 11:27:02.440298
118,Tamilnadu National Law University,"Navalur Kuttapattu, Srirangam Taluk Tiruchirapalli",Tamil Nadu - 620 009,State university,2020-02-23 11:27:02.440298
119,Tamilnadu Physical Educaton and Sports University,"8th Floor,EVA Sampat Maaligai, college Road, Chennai-600006",Tamil Nadu -,State university,2020-02-23 11:27:02.440298
120,Tamilnadu Veterinary & Animal Sciences University,Chennai-600 007.,Tamil Nadu -,State university,2020-02-23 11:27:02.440298
121,Thiruvalluvar University,"Serkkadu, Vellore Vellore District Tamil Nadu",Tamil Nadu - 632 115,State university,2020-02-23 11:27:02.440298
122,Assam Agricultural University,Jorhat - 785 013. (ASSAM),Assam -,State university,2020-02-23 11:27:02.440298
123,Assam Rajiv Gandhi University of Co-operative Management,"Sivasagar Guwahati, Assam.",Assam -,State university,2020-02-23 11:27:02.440298
124,Assam Science & Technology University,"Kohilipara, Guwahati",Assam - 781019,State university,2020-02-23 11:27:02.440298
125,Assam Women's University,Jorhat Assam,Assam - 785001,State university,2020-02-23 11:27:02.440298
126,Bhattadev University,Bajali Pathsala Barpeta Assam,Assam -,State university,2020-02-23 11:27:02.440298
127,Bodoland University,"Debargaon, P.O. Rangalikhata Kokrajhar BTC, Assam",Assam - 783 370,State university,2020-02-23 11:27:02.440298
128,Cotton University,"Panbazar, Guwahati",Assam - 781001,State university,2020-02-23 11:27:02.440298
129,Dibrugarh University,"Dibrugarh, PIN - 786 004. (ASSAM)",Assam -,State university,2020-02-23 11:27:02.440298
130,Gauhati University,"Gopinath Bardoloi Nagar, Guwahati-781014 (Assam).",Assam -,State university,2020-02-23 11:27:02.440298
131,Krishna Kanta Handique State Open University,"Last Gate,Dispur Guwahati-781 006 Assam",Assam -,State university,2020-02-23 11:27:02.440298
132,Kumar Bhaskar Varma Sanskrit & Ancient Studies University,"Vill-Namati, P.O.- Hati Namati Dist-Nalbari,Assam",Assam - 781 337,State university,2020-02-23 11:27:02.440298
133,Madhabdev University,"P.O. Dikrong (784164) Narayanpur, Lakhimpur",Assam -,State university,2020-02-23 11:27:02.440298
134,National Law University and Judicial Academy,"NEJOTI Building, B.K. Kakati Road Bholanath Mandir Parh, Ulubari Guwahati",Assam - 781 007,State university,2020-02-23 11:27:02.440298
135,Rabindranath Tagore University,Hojai,Assam - 782435,State university,2020-02-23 11:27:02.440298
136,Srimanta Sankaradeva University of Health Sciences,"Narakasur Hilltop, Bhangagarh Guwahati",Assam - 781032,State university,2020-02-23 11:27:02.440298
137,Baba Ghulam Shah Badshah University,"Rajouri Camp Office, Bye Pass- Road,Chinnai Himmat, Jammu",Jammu and Kashmir -,State university,2020-02-23 11:27:02.440298
138,Cluster University of Jammu,"Govt College for Women, Gandhi Nagar, Jammu",Jammu and Kashmir - 180004,State university,2020-02-23 11:27:02.440298
139,Cluster University of Srinagar,"S.P. College Srinagar, Srinagar",Jammu and Kashmir -,State university,2020-02-23 11:27:02.440298
140,Islamic University of Sciences & Technology University,"University Avenue,Awantipora Pulwama-192 122 Kashmir",Jammu and Kashmir -,State university,2020-02-23 11:27:02.440298
141,Jammu University,"Baba Saheb Ambedkar Road, Jammu Tawi - 180 004.",Jammu and Kashmir -,State university,2020-02-23 11:27:02.440298
142,Kashmir University,"Hazratbal, Srinagar, PIN - 190 006. (J & K)",Jammu and Kashmir -,State university,2020-02-23 11:27:02.440298
143,Sher-e-Kashmir University of Agricultural Science & Technology,Shalimar Campus P.B.No 262 Srinagar-190 001. (J&K),Jammu and Kashmir -,State university,2020-02-23 11:27:02.440298
144,Shri Mata Vaishno Devi University,"Sub-post office-182320 Katra,J&K",Jammu and Kashmir -,State university,2020-02-23 11:27:02.440298
145,Dr. Babasaheb Ambedkar Marathwada University,"University Campus, Near Soneri Mahal, Jaisingpura, Aurangabad",Maharashtra - 431004,State university,2020-02-23 11:27:02.440298
146,Dr. Babasaheb AmbedkarTechnological University,"P.O. Goregaon Lonere-402103, Dt-Raigad.",Maharashtra -,State university,2020-02-23 11:27:02.440298
147,Dr. Homi Bhabha State University,"Mumbai, Institute of Science, 15 Madame Cama Road, Mumbai",Maharashtra - 400032,State university,2020-02-23 11:27:02.440298
148,Dr. Punjabrao Deshmukh Krishi Vidyapeeth,Krishinagar Akola - 444 104.,Maharashtra -,State university,2020-02-23 11:27:02.440298
149,Gondwana University,"M.I.D.C. Road Complex Godchiroli, Maharashtra",Maharashtra - 422 605,State university,2020-02-23 11:27:02.440298
150,Kavayitri Bahinabai Chadhari North Maharashtra University,"Umavinagar P.B.No.80, Jalgaon",Maharashtra - 425001,State university,2020-02-23 11:27:02.440298
151,Kavi Kulguru Kalidas Sanskrit Vishwavidyalaya,"Prashashiya Bhawan, Mouda Road Ramtek-441106,Dist. Nagpur Maharashtra",Maharashtra -,State university,2020-02-23 11:27:02.440298
152,Konkan Krishi Vidyapeeth,Dapoli District Ratnagiri,Maharashtra -,State university,2020-02-23 11:27:02.440298
153,Maharahtra University of Health Sciences,"Anand Valley, Gangapur Road Nashik-422 005",Maharashtra -,State university,2020-02-23 11:27:02.440298
154,Maharashtra Animal & Fishery Sciences University,"High Land driv Road Seminary Hills, Nagpur-440 006",Maharashtra -,State university,2020-02-23 11:27:02.440298
155,Maharashtra National Law University,"Post Box No. 8338, Deonar, Mumbai Maharashtra",Maharashtra - 400088,State university,2020-02-23 11:27:02.440298
156,Maharashtra National Law University,"Government B.Ed College Campus, Padampura, Aurangabad",Maharashtra - 431005,State university,2020-02-23 11:27:02.440298
157,"Maharashtra National Law University,","Training Institute(JOTI), Civil Lines, C P Club Road, Nagpur",Maharashtra - 440001,State university,2020-02-23 11:27:02.440298
158,Mahatma Phule Krishi Vidyapeeth,Rahuri Dt.Ahmednagar - 413 722.,Maharashtra -,State university,2020-02-23 11:27:02.440298
159,Marathwada Agricultural University,Parbhani - 431 402.,Maharashtra -,State university,2020-02-23 11:27:02.440298
160,Mumbai University,"M.G.Road, Fort, Mumbai - 400 032.",Maharashtra -,State university,2020-02-23 11:27:02.440298
161,Sant Gadge Baba Amravati University,"Camp, ti, Amravati-444602 (M.S.)",Maharashtra -,State university,2020-02-23 11:27:02.440298
162,Savitribai Phule Pune University,Ganeshkhind Pune,Maharashtra - 411 007,State university,2020-02-23 11:27:02.440298
163,Shivaji University,"Vidyanagar, Kolhapur - 416 004.",Maharashtra -,State university,2020-02-23 11:27:02.440298
164,Smt. Nathibai Damodar Thackersey Women's University,"1,Nathibai Thackersay Rd. Mumbai - 400 020.",Maharashtra -,State university,2020-02-23 11:27:02.440298
165,Solapur University,"Solapur University, Solapur Solapur Pune national Highway Kegaon,Solapur-413255 (Maharashtra)",Maharashtra -,State university,2020-02-23 11:27:02.440298
166,Swami Ramanand Teerth Marathwada University,"Dnyateerth,Vishnupuri, Nanded-431606,(M.S.)",Maharashtra -,State university,2020-02-23 11:27:02.440298
167,The Rashtrasant Tukadoji Maharaj Nagpur University,Nagpur,Maharashtra -,State university,2020-02-23 11:27:02.440298
168,Yashwant Rao Chavan Maharashtra Open University,"Dnyangangotri, Near Gangapur Dam,Nasik-422222",Maharashtra -,State university,2020-02-23 11:27:02.440298
169,Maharaja Bir Bikram University,Agartala Tripura,Tripura -,State university,2020-02-23 11:27:02.440298
170,Arybhatta Knowledge University,"A.N. Sinha Institute of Social Studies Campus(West) North Gondhi Maidan, Patna",Bihar -,State university,2020-02-23 11:27:02.440298
171,Babasaheb Bhimrao Ambedkar Bihar University,Muzzaffarpur - 842 001. Bihar,Bihar -,State university,2020-02-23 11:27:02.440298
172,Bhupender Narayan Mandal University,"Laloo Nagar, Madhepura, PIN - 852 113. (BIHAR)",Bihar -,State university,2020-02-23 11:27:02.440298
173,Bihar Agricultural University,Sabour (BhagalPur),Bihar - 813210,State university,2020-02-23 11:27:02.440298
174,Bihar Animal Sciences University,"Bihar Veterinary College Campus, Patna",Bihar - 800014,State university,2020-02-23 11:27:02.440298
175,Chanakya National Law University,"Nyaya Nagar, Mithapur, Patna-800001, Bihar",Bihar -,State university,2020-02-23 11:27:02.440298
176,Jai Prakash vishwavidyalaya(university),"Chapra, PIN- 841 301. (BIHAR)",Bihar -,State university,2020-02-23 11:27:02.440298
177,Kameshwar Singh.Darbhanga Sanskrit Vishwavidyalaya,Kamcshwar Nagar Darbhanga 846 008.(BIHAR),Bihar -,State university,2020-02-23 11:27:02.440298
178,Lalit Narayan Mithila University,Darbhanga PIN - 846 008. (BIHAR),Bihar -,State university,2020-02-23 11:27:02.440298
179,Magadh University,"Bodhgaya, BIHAR",Bihar - 824 234,State university,2020-02-23 11:27:02.440298
180,Maulana Mazharul Haque Arabic & Persian University,"3, Polo Road, Patna 800 006",Bihar -,State university,2020-02-23 11:27:02.440298
181,Munger University,Munger Bihar,Bihar -,State university,2020-02-23 11:27:02.440298
182,Nalanda Open University,"3rd Floor, Biscomum Bhawan, West Gandhi, Maidan, Patna, Bihar-800001",Bihar -,State university,2020-02-23 11:27:02.440298
183,Patliputra University,"Kankarbagh Road, Near Rajendra Nagar Terminal, Patna",Bihar - 800020,State university,2020-02-23 11:27:02.440298
184,Patna University,"Patna, PIN - 800 005.",Bihar -,State university,2020-02-23 11:27:02.440298
185,Purnea University,"Purnea, Bihar,",Bihar - 854301,State university,2020-02-23 11:27:02.440298
186,Rajendra Agricultural University,Pusa Samastipur-848125 (BIHAR).,Bihar -,State university,2020-02-23 11:27:02.440298
187,T.M. Bhagalpur University,Bhagalpur,Bihar -,State university,2020-02-23 11:27:02.440298
188,Veer Kunwar Singh University,Ara Bihar,Bihar - 802 301,State university,2020-02-23 11:27:02.440298
189,Binod Bihari Mahto Koylanchal University,Dhanbad Jharkhand,Jharkhand -,State university,2020-02-23 11:27:02.440298
190,Birsa Agricultural University,Kanke Ranchi - 834 006.(JHARKHAND),Jharkhand -,State university,2020-02-23 11:27:02.440298
191,Dr. Shyama Prasad University,Ranchi Jharkhand,Jharkhand -,State university,2020-02-23 11:27:02.440298
192,Jharkhand Raksha Shakti University,"Old Judicial Academy (Shri Krishna Lok Prashashan Sansthan Parisar) Mayors Road, Ranchi",Jharkhand - 834002,State university,2020-02-23 11:27:02.440298
193,Jharkhand Raksha Shakti University,Old Judicial Academy Mayors Road Ranchi,Jharkhand - 834002,State university,2020-02-23 11:27:02.440298
194,Jharkhand University of Technology,"Science & Technology Campus, Sirkha Toll, Namkum, Ranchi",Jharkhand - 834010,State university,2020-02-23 11:27:02.440298
195,Kolhan University,"Chaibasa, West Singhbhum, Jharkhand",Jharkhand -,State university,2020-02-23 11:27:02.440298
196,National University of Study & Research in Law,"Polytechnic Campus, BIT Mesra, Ranchi",Jharkhand - 835217,State university,2020-02-23 11:27:02.440298
197,Nilamber-Pitamber University,"Madininager, Palamu-822101 Jharkhand",Jharkhand -,State university,2020-02-23 11:27:02.440298
198,Ranchi University,"Ranchi, PIN - 834 008. (JHARKHAND)",Jharkhand -,State university,2020-02-23 11:27:02.440298
199,Sido Kanhu University,"Santhal Pargana, Dumka, PIN - 814 101. (JHARKHAND)",Jharkhand -,State university,2020-02-23 11:27:02.440298
200,Vinoba Bhave University,"Hazaribagh, PIN - 825 301. (JHARKHAND) Post Box No.-31",Jharkhand -,State university,2020-02-23 11:27:02.440298
201,Dhanamanjuri University,"Imphal, Manipur",Manipur -,State university,2020-02-23 11:27:02.440298
