,UniversityName,Address,State,Type
218,Dr. Ram Manohar Lohia Institute of Medical Sciences,"Vibhuti Khand, Gomti Nagar, Lucknow",Uttar Pradesh - 226010,State university
219,Dr. Ram Manohar Lohiya National Law University,"Sector-D-1,L.D.A.Kanpur Road Scheme Lucknow, U.P.",Uttar Pradesh -,State university
220,Dr. Shakuntala Misra National Rehabilitation University,"5th Floor, Administrative Building Mohaan Road, Lucknow",Uttar Pradesh - 226017,State university
221,Gautam Buddha University,"Greater Noida, Dist: Gautam Budh - Nagar, Uttar Pradesh- 201 308",Uttar Pradesh -,State university
222,Harcourt Butler Technical University,Kanpur,Uttar Pradesh - 208002,State university
223,Jananayak Chandrashekhar University,Ballia,Uttar Pradesh - 277001,State university
224,"Khwaja Moinuddin Chishti Urdu, Arabi-Farsi University","Sitapur - Hardoi Bypass Road, Near I.I.M. Lucknow",Uttar Pradesh - 226013,State university
225,King Georges Medical University,"Lucknow, U.P.",Uttar Pradesh - 226003,State university
226,Lucknow University,"Lucknow, PIN - 226 007.",Uttar Pradesh -,State university
227,M.J.P. Rohilkhand University,"Doli Lal Agarwal Marg, Bareilly",Uttar Pradesh -,State university
228,Madan Mohan Malaviya University of Technology,Gorakhpur,Uttar Pradesh - 273 010,State university
229,Mahamaya Technical University,"C-22, Sector-62 Noida G.B. Nagar",Uttar Pradesh - 201301,State university
230,Mahatam Gandhi Kashi Vidyapeeth,Varanasi-221 002 (U.P),Uttar Pradesh -,State university
231,Narendra Deo University of Agriculture & Technology,"Kumarganj, Faizabad - 224 229. (U.P)",Uttar Pradesh -,State university
232,Sampurnanand Sanskrit Vishwavidyalaya,Varanasi - 221 002. (UP),Uttar Pradesh -,State university
233,Sardar Vallabh Bhai Patel University of Agriculture & Technology,"Modipuram, Meerut, U.P-250110",Uttar Pradesh -,State university
234,Siddharth University,"kapilvastu, Siddharth Nagar",Uttar Pradesh - 272202,State university
235,U.P. Pandit Deen Dayal Upadhyaya Pashu Chikitsa Vigyan Vishwavidhyalaya Evam Go-Anusandhan Sansthan,Mathura Uttar Pradesh,Uttar Pradesh - 281001,State university
236,U.P. Rajarshi Tandon Open University,"University Campus, Shantipuram (Sector-F)Phaphamau Allahabad-211013",Uttar Pradesh -,State university
237,U.P.King George's University of Dental Sciences,Lucknow,Uttar Pradesh -,State university
238,Uttar Pradesh University of Medical Sciences,"Saifai, Etawah",Uttar Pradesh - 206130,State university
239,Veer Bahadur Singh Purvanchal University,"Shahganj Road, Jaunpur PIN-222002 (U.P.)",Uttar Pradesh -,State university
240,Ambedkar University Delhi (AUD),"Lothian Road, Kashmere Gate Delhi",Delhi - 110006,State university
241,Delhi Pharmaceutical Sciences & Research University,"DISPAR Campus, Sector - III, Pushp Vihar, M B Road,",Delhi - 110017,State university
242,Delhi Technological University,"Shahbad Daultapur, Bawana Road, Delhi",Delhi -,State university
243,Guru Gobind Singh Indraprastha Vishwavidyalaya,"Sector_16C, Dwarka New Delhi",Delhi - 110 075,State university
244,Indira Gandhi Delhi Technical University for Women,Kashmere Gate Delhi,Delhi - 110006,State university
245,Indraprastha Institute of Information Technology,"Near Govind Puri Metro Station, Okhala Industrial Estate,, Okhla Phase III",Delhi - 110020,State university
246,National Law University,"Sector-14, Dwarka New Delhi-110 078",Delhi - 110 078,State university
247,Netaji Subhas University of Technology,"Azad Hind Fauj Marg, Sector-3, Dwarka",Delhi - 110078,State university
248,"Akkamahadevi women's University (Formerly known as ""Karnataka State Women's University)",Vijayapur Karnataka-586101,Karnataka -,State university
249,Bangalore University,"Jnana Bharathi, Bangalore",Karnataka - 560056,State university
250,Bengaluru Central University,"Central College Campus, Dr. Ambedkar Veedhi Bengaluru,",Karnataka - 560001,State university
251,Bengaluru Dr. B. R. Ambedkar School of Economics University,"Rajaji Hall, Central College Campus, Bangalore University, Bengaluru",Karnataka - 560001,State university
252,Bengaluru North University,"Devaraj Urs Extension, Tamaka Kolar, Karnataka",Karnataka - 563103,State university
253,Davangere University,Shivagangothri Davangere Karnataka-577002,Karnataka -,State university
254,Gulbarga University,"Jnana Ganga, Gulbarga, PIN - 585 106, KARNATAKA",Karnataka -,State university
255,Kannada University,"Vidyaranya, Hospet Taluk Hampi (Dt. Bellary) 583276",Karnataka -,State university
256,Karanataka State Law University,"Navanagar, Hubli-580025 Karnataka",Karnataka -,State university
257,Karanataka State Open University,Manasangangotri Mysore-570006,Karnataka -,State university
258,Karanataka University,"Karnatak University, Pavate Nagar, Dharwad, PIN - 580 003.",Karnataka -,State university
259,"Karanataka Veterinary, Animal & Fisheries Science University","Nandinagar PB No.6,Bidar-585401(Karnataka",Karnataka -,State university
260,Karnataka Folklore University,"#2/106, KASSIA Bldg, 3rd Floor, 17th Cross, Magadi Chord Road Vijayanagar, Banglore",Karnataka - 560 040,State university
